Index,Simplified,Traditional,Pinyin,English,Hint
1,先生,先生,xiān sheng,Mr. ,First tone Neural tone
2,朋友,朋友,péng you,friend,Second tone Neural tone
3,两个,兩個,liǎng ge,two (of something),Third tone Neural tone
4,累了,累了,lèi le,tired,Fourth tone Neural tone
5,医生,醫生,yī shēng,doctor,First tone First tone 
6,欢迎,歡迎,huān yíng,welcome,First tone Second tone
7,刚好,剛好,gāng hǎo,just right,First tone Third tone
8,工作,工作,gōng zuò,work,First tone Fourth tone
9,时间,時間,shí jiān,time,Second tone First tone 
10,银行,銀行,yín háng,bank,Second tone Second tone
11,没有,沒有,méi yǒu,don’t have,Second tone Third tone 
12,不用,不用,bú yòng,no need,Second tone Fourth tone 
13,你每天喜欢做什么？,你每天喜歡做什麼？,Nǐ měi tiān xǐ huān zuò shén me?,What do you like to do every day?,Sentences
14,我喜欢游泳。你呢？,我喜歡游泳。你呢？,Wǒ xǐ huān yóu yǒng. Nǐ ne?,I like swimming. How about you?,Sentences
15,我喜欢打篮球，每天都去打球。,我喜歡打籃球，每天都去打球。,"Wǒ xǐ huān dǎ lán qiú, měi tiān dōu qù dǎ qiú.",I like playing basketball; I play every day.,Sentences
16,我也是，我们明天去打球吧！,我也是，我們明天去打球吧！,"Wǒ yě shì, wǒ men míng tiān qù dǎ qiú ba!","Me too, let’s go play basketball tomorrow!",Sentences
