Index,Simplified,Traditional,Pinyin,English,Hint
1,花,花,huā,flower,First tone
2,鱼,魚,yú,fish,Second tone
3,狗,狗,gǒu,dog,Third tone
4,路,路,lù,road,Fourth tone
5,年纪,年紀,nián ji,age,First tone Neural tone
6,爷爷,爺爺,yé ye,grandfather ,Second tone Neural tone
7,奶奶,奶奶,nǎi nai,grandmother,Third tone Neural tone
8,爸爸,爸爸,bà ba,father,Fourth tone Neural tone
9,春天,春天,chūn tiān,spring,First tone First tone 
10,公园,公園,gōng yuán,park,First tone Second tone
11,出口,出口,chū kǒu,exit,First tone Third tone
12,车站,車站,chē zhàn,station,First tone Fourth tone
13,这是你的爸爸吗？他多大年纪了？,這是你的爸爸嗎？他多大年紀了？,Zhè shì nǐ de bà ba ma? Tā duō dà nián ji le?,Is that your father? How old is he?,Sentences
14,我想想看。他今年五十三岁了。,我想想看。他今年五十三歲了。,Wǒ xiǎng xiǎng kàn. Tā jīn nián wǔ shí sān suì le.,Let me think. This year he is fifty-three.,Sentences
15,他旁边站着的是你的姐姐吗？,他旁邊站著的是你的姐姐嗎？,Tā páng biān zhàn zhe de shì nǐ de jiě jie ma?,Is the one standing next to him your older sister?,Sentences
16,不，她是我的妹妹。,不，她是我的妹妹。,"Bù, tā shì wǒ de mèi mei.","No, she is my younger sister.",Sentences
