Index,Simplified,Traditional,Pinyin,English,Hint
1,说着,說著,shuō zhe,speaking,First tone Neural tone
2,鼻子,鼻子,bí zi,nose,Second tone Neural tone
3,椅子,椅子,yǐ zi,chair,Third tone Neural tone
4,去吧,去吧,qù ba,go ahead,Fourth tone Neural tone
5,东边,東邊,dōng biān,east side,First tone First tone 
6,开门,開門,kāi mén,open the door,First tone Second tone
7,东北,東北,dōng běi,northeast,First tone Third tone
8,公路,公路,gōng lù,road,First tone Fourth tone
9,明天,明天,míng tiān,tomorrow,Second tone First tone 
10,足球,足球,zú qiú,football,Second tone Second tone
11,十本,十本,shí běn,"ten (books, etc.)",Second tone Third tone 
12,同意,同意,tóng yì,to agree,Second tone Fourth tone 
13,你家有几个人？,你家有幾個人？,Nǐ jiā yǒu jǐ gè rén?,How many people are in your family?,Sentences
14,我家有三个人：爸爸、妈妈和我。,我家有三個人：爸爸、媽媽和我。,"Wǒ jiā yǒu sān gè rén: bà ba, mā ma hé wǒ.","There are three people in my family: dad, mom, and me.",Sentences
15,你爸爸妈妈是做什么工作的？,你爸爸媽媽是做什麼工作的？,Nǐ bà ba mā ma shì zuò shén me gōng zuò de?,What do your father and mother do for work?,Sentences
16,我爸爸是医生，妈妈是老师。,我爸爸是醫生，媽媽是老師。,"Wǒ bà ba shì yī shēng, mā ma shì lǎo shī.","My dad is a doctor, and my mom is a teacher.",Sentences
