Index,Simplified,Traditional,Pinyin,English,Hint
1,他,他,tā,he,First tone
2,谁,誰,shéi,who,Second tone
3,你,你,nǐ,you,Third tone
4,叫,叫,jiào,be called,Fourth tone
5,她的,她的,tā de,her,First tone Neural tone
6,名字,名字,míng zi,name,Second tone Neural tone
7,好吗,好嗎,hǎo ma,Okay?,Third tone Neural tone
8,弟弟,弟弟,dì di,younger brother,Fourth tone Neural tone
9,书桌,書桌,shū zhuō,desk,First tone First tone 
10,中国,中國,Zhōng guó,China,First tone Second tone
11,香港,香港,Xiāng gǎng,Hong Kong,First tone Third tone
12,知道,知道,zhī dào,to know,First tone Fourth tone
13,请问，您贵姓？,請問，您貴姓？,"Qǐng wèn, nín guì xìng?","May I ask, what is your surname?",Sentences
14,我姓张，我叫张明。你叫什么名字？,我姓張，我叫張明。你叫什麼名字？,"Wǒ xìng Zhāng, wǒ jiào Zhāng Míng. Nǐ jiào shén me míng zì?",My surname is Zhang. My name is Zhang Ming. What is your name?,Sentences
15,我叫李华。你知道他是谁吗？,我叫李華。你知道他是誰嗎？,Wǒ jiào Lǐ Huá. Nǐ zhī dào tā shì shéi ma?,My name is Li Hua. Do you know who he is?,Sentences
16,他是我的弟弟张强，来自中国香港。,他是我的弟弟張強，來自中國香港。,"Tā shì wǒ de dì di Zhāng Qiáng, lái zì Zhōng guó Xiāng gǎng.","He is my younger brother, Zhang Qiang, from Hong Kong, China.",Sentences
