Index,Simplified,Traditional,Pinyin,English,Hint
1,紧张,緊張,jǐn zhāng,nervous,Third tone First tone 
2,语言,語言,yǔ yán,language,Third tone Second tone
3,很好,很好,hěn hǎo,very good,Third tone Third tone 
4,请坐,請坐,qǐng zuò,please sit,Third tone Fourth tone 
5,律师,律師,lǜ shī,lawyer,Fourth tone First tone 
6,进来,進來,jìn lái,come in,Fourth tone Second tone
7,不懂,不懂,bù dǒng,don’t understand,Fourth tone Third tone
8,最近,最近,zuì jìn,recently,Fourth tone Fourth tone 
9,有点儿,有點兒,yǒu diǎnr,a little bit,Third tone Third tone Second tone
10,星期一,星期一,xīng qī yī,Monday,First tone First tone First tone
11,忙不忙,忙不忙,máng bù máng,busy or not,Second tone Fourth tone Second tone
12,累不累,累不累,lèi bú lèi,tired or not,Fourth tone Second tone Fourth tone
13,这本中文书是你的吗？,這本中文書是你的嗎？,Zhè běn Zhōng wén shū shì nǐ de ma?,Is this Chinese book yours?,Sentences
14,这本书不是我的，那本书是我的。,這本書不是我的，那本書是我的。,"Zhè běn shū bú shì wǒ de, nà běn shū shì wǒ de.",This book is not mine; that book is mine.,Sentences
15,中文课难不难？,中文課難不難？,Zhōng wén kè nán bù nán?,Is Chinese class difficult?,Sentences
16,中文课不太难，可是作业有点儿多。,中文課不太難，可是作業有點兒多。,"Zhōng wén kè bú tài nán, kě shì zuò yè yǒu diǎnr duō.","Chinese class is not too difficult, but the homework is a bit much.",Sentences
