Index,Simplified,Traditional,Pinyin,English,Hint
1,旁边,旁邊,páng biān,beside,Second tone First tone 
2,回来,回來,huí lái,come back,Second tone Second tone
3,苹果,蘋果,píng guǒ,apple,Second tone Third tone 
4,不再,不再,bú zài,no longer,Second tone Fourth tone 
5,女生,女生,nǚ shēng,female student,Third tone First tone 
6,两年,兩年,liǎng nián,two years,Third tone Second tone
7,左手,左手,zuǒ shǒu,left hand,Third tone Third tone 
8,比较,比較,bǐ jiào,comparatively,Third tone Fourth tone 
9,汽车,汽車,qì chē,car,Fourth tone First tone 
10,快来,快來,kuài lái,come quickly,Fourth tone Second tone
11,右手,右手,yòu shǒu,right hand,Fourth tone Third tone
12,电视,電視,diàn shì,television,Fourth tone Fourth tone 
13,王梅，星期四是我的生日。,王梅，星期四是我的生日。,"Wáng Méi, xīng qī sì shì wǒ de shēng rì.","Wang Mei, Thursday is my birthday.",Sentences
14,哦！那天我请你吃饭，怎么样？,哦！那天我請你吃飯，怎麼樣？,"Ò! Nà tiān wǒ qǐng nǐ chī fàn, zěn me yàng?","Oh! That day I’ll treat you to dinner, how about that?",Sentences
15,太好了，谢谢你。你喜欢做饭吗？,太好了，謝謝你。你喜歡做飯嗎？,"Tài hǎo le, xiè xie nǐ. Nǐ xǐ huān zuò fàn ma?","Great, thank you. Do you like cooking?",Sentences
16,我不喜欢，我们去饭店吃。,我不喜歡，我們去飯店吃。,"Wǒ bù xǐ huān, wǒ men qù fàn diàn chī.","I don’t like it, let’s go eat at a restaurant.",Sentences
