Index,Simplified,Traditional,Pinyin,English,Hint
1,国家,國家,guó jiā,country,Second tone First tone 
2,常常,常常,cháng cháng,often,Second tone Second tone
3,人口,人口,rén kǒu,population,Second tone Third tone 
4,然后,然後,rán hòu,then,Second tone Fourth tone 
5,老师,老師,lǎo shī,teacher,Third tone First tone 
6,法国,法國,Fǎ guó,France,Third tone Second tone
7,水果,水果,shuǐ guǒ,fruit,Third tone Third tone 
8,早饭,早飯,zǎo fàn,breakfast,Third tone Fourth tone 
9,地方,地方,dì fāng,place,Fourth tone First tone 
10,课文,課文,kè wén,text,Fourth tone Second tone
11,电影,電影,diàn yǐng,movie ,Fourth tone Third tone
12,电话,電話,diàn huà,telephone,Fourth tone Fourth tone 
13,大卫，好久不见！,大衛，好久不見！,"Dà Wèi, hǎo jiǔ bú jiàn!","David, long time no see!",Sentences
14,我给你介绍一下，这是凯文，他来自英国。,我給你介紹一下，這是凱文，他來自英國。,"Wǒ gěi nǐ jiè shào yí xià, zhè shì Kǎi Wén, tā lái zì Yīng guó.","Let me introduce you, this is Kevin, he is from the UK.",Sentences
15,你好，凯文，很高兴认识你。,你好，凱文，很高興認識你。,"Nǐ hǎo, Kǎi Wén, hěn gāo xìng rèn shí nǐ.","Hello, Kevin, nice to meet you.",Sentences
16,我也很高兴认识你。,我也很高興認識你。,Wǒ yě hěn gāo xìng rèn shí nǐ.,Nice to meet you too.,Sentences
