Index,Simplified,Traditional,Pinyin,English,Hint
1,男生,男生,nán shēng,boy student,Second tone First tone 
2,篮球,籃球,lán qiú,basketball,Second tone Second tone
3,游泳,游泳,yóu yǒng,to swim,Second tone Third tone 
4,一下,一下,yí xià,once,Second tone Fourth tone 
5,每天,每天,měi tiān,every day,Third tone First tone 
6,打球,打球,dǎ qiú,to play ball ,Third tone Second tone
7,几点,幾點,jǐ diǎn,what time,Third tone Third tone 
8,晚饭,晚飯,wǎn fàn,dinner,Third tone Fourth tone 
9,在家,在家,zài jiā,at home,Fourth tone First tone 
10,数学,數學,shù xué,math,Fourth tone Second tone
11,课本,課本,kè běn,textbook,Fourth tone Third tone
12,上课,上課,shàng kè,to attend class,Fourth tone Fourth tone 
13,你是从中国来的吗？,你是從中國來的嗎？,Nǐ shì cóng Zhōng guó lái de ma?,Are you from China?,Sentences
14,对，我家在北京。,對，我家在北京。,"Duì, wǒ jiā zài Běi jīng.","Yes, my home is in Beijing.",Sentences
15,那你现在住在哪里？,那你現在住在哪裡？,Nà nǐ xiàn zài zhù zài nǎ lǐ?,Then where do you live now?,Sentences
16,我住在学校附近。,我住在學校附近。,Wǒ zhù zài xué xiào fù jìn.,I live near the school.,Sentences
