Index,Simplified,Traditional,Pinyin,English,Hint
1,说,說,shuō,to speak,First tone
2,能,能,néng,"can, be able to",Second tone
3,海,海,hǎi,"sea, ocean",Third tone
4,更,更,gèng,"more, even more",Fourth tone
5,哥哥,哥哥,gē ge,older brother,First tone Neural tone
6,来了,來了,lái le,"to have arrived, here",Second tone Neural tone
7,姐姐,姐姐,jiě jie,older sister,Third tone Neural tone
8,是的,是的,shì de,yes,Fourth tone Neural tone
9,高中,高中,gāo zhōng,senior high school,First tone First tone 
10,英文,英文,yīng wén,English (language),First tone Second tone
11,多少,多少,duō shǎo,how many,First tone Third tone
12,出去,出去,chū qù,to go out,First tone Fourth tone
13,大卫，你是哪国人？,大衛，你是哪國人？,"Dà Wèi, nǐ shì nǎ guó rén?","David, what nationality are you?",Sentences
14,我是美国人。你呢？,我是美國人。你呢？,Wǒ shì Měi guó rén. Nǐ ne?,I am American. How about you?,Sentences
15,我不是美国人，我是中国人。,我不是美國人，我是中國人。,"Wǒ bú shì Měi guó rén, wǒ shì Zhōng guó rén.","I am not American, I am Chinese.",Sentences
16,哦！我的奶奶也是中国人。,哦！我的奶奶也是中國人。,Ò! Wǒ de nǎi nai yě shì Zhōng guó rén.,Oh! My grandmother is also Chinese.,Sentences
