Index,Simplified,Traditional,Pinyin,English,Hint
1,房间,房間,fáng jiān,room,Second tone First tone 
2,学习,學習,xué xí,study,Second tone Second tone
3,毛笔,毛筆,máo bǐ,writing brush,Second tone Third tone 
4,学会,學會,xué huì,master,Second tone Fourth tone 
5,北京,北京,Běi jīng,Beijing,Third tone First tone 
6,美国,美國,Měi guó,United States,Third tone Second tone
7,你好,你好,nǐ hǎo,hello,Third tone Third tone 
8,请问,請問,qǐng wèn,excuse me,Third tone Fourth tone 
9,看书,看書,kàn shū,read a book,Fourth tone First tone 
10,地图,地圖,dì tú,map,Fourth tone Second tone
11,上海,上海,Shàng hǎi,Shanghai,Fourth tone Third tone
12,再见,再見,zài jiàn,goodbye,Fourth tone Fourth tone 
13,请问，你是学生吗？,請問，你是學生嗎？,"Qǐng wèn, nǐ shì xué shēng ma?","May I ask, are you a student?",Sentences
14,我是学生。你呢？,我是學生。你呢？,Wǒ shì xué shēng. Nǐ ne?,I am a student. How about you?,Sentences
15,我也是学生。她呢？,我也是學生。她呢？,Wǒ yě shì xué shēng. Tā ne?,I am also a student. How about her?,Sentences
16,不，她不是学生，她是老师。,不，她不是學生，她是老師。,"Bù, tā bú shì xué shēng, tā shì lǎo shī.","No, she is not a student, she is a teacher.",Sentences
