Index,Simplified,Traditional,Pinyin,English,Hint
1,首都,首都,shǒu dū,capital (of a country),Third tone First tone 
2,找着,找著,zhǎo zhe,finding (something),Third tone Second tone
3,冷水,冷水,lěng shuǐ,cold water,Third tone Third tone 
4,午饭,午飯,wǔ fàn,lunch,Third tone Fourth tone 
5,大声,大聲,dà shēng,loud voice,Fourth tone First tone 
6,练习,練習,liàn xí,to practice,Fourth tone Second tone
7,电脑,電腦,diàn nǎo,computer,Fourth tone Third tone
8,作业,作業,zuò yè,homework,Fourth tone Fourth tone 
9,健身房,健身房,jiàn shēn fáng,gym,Fourth tone First tone Second tone
10,动物园,動物園,dòng wù yuán,zoo,Fourth tone Fourth tone Second tone
11,差不多,差不多,chà bù duō,almost ,Fourth tone Fourth tone First tone
12,不一定,不一定,bù yí dìng,not necessarily,Fourth tone Second tone Fourth tone
13,你周末喜欢做什么？,你週末喜歡做什麼？,Nǐ zhōu mò xǐ huān zuò shén me?,What do you like to do on weekends?,Sentences
14,我喜欢去健身房运动。你呢？,我喜歡去健身房運動。你呢？,Wǒ xǐ huān qù jiàn shēn fáng yùn dòng. Nǐ ne?,I like to go to the gym to exercise. How about you?,Sentences
15,我喜欢看书和看电影。,我喜歡看書和看電影。,Wǒ xǐ huān kàn shū hé kàn diàn yǐng.,I like reading books and watching movies.,Sentences
16,这周末，我们一起去动物园玩吧。,這週末，我們一起去動物園玩吧。,"Zhè zhōu mò, wǒ men yì qǐ qù dòng wù yuán wán ba.","This weekend, let’s go to the zoo together.",Sentences
