Index,Simplified,Traditional,Pinyin,English,Hint
1,东方,東方,dōng fāng,east,First tone First tone 
2,租房,租房,zū fáng,to rent a house,First tone Second tone
3,听写,聽寫,tīng xiě,dictation,First tone Third tone
4,天气,天氣,tiān qì,weather,First tone Fourth tone
5,晴天,晴天,qíng tiān,sunny day,Second tone First tone 
6,长城,長城,cháng chéng,Great Wall,Second tone Second tone
7,台北,台北,tái běi,Taipei,Second tone Third tone 
8,白菜,白菜,bái cài,Chinese cabbage,Second tone Fourth tone 
9,雪天,雪天,xuě tiān,snowy day,Third tone First tone 
10,水瓶,水瓶,shuǐ píng,water bottle,Third tone Second tone
11,雨水,雨水,yǔ shuǐ,rainwater,Third tone Third tone 
12,考试,考試,kǎo shì,exam ,Third tone Fourth tone 
13,北京的天气不错嘛！,北京的天氣不錯嘛！,Běi jīng de tiān qì bú cuò ma!,The weather in Beijing is pretty nice!,Sentences
14,对，不冷也不热，挺舒服。,對，不冷也不熱，挺舒服。,"Duì, bù lěng yě bú rè, tǐng shū fú.","Yes, it’s neither cold nor hot, quite comfortable.",Sentences
15,只有秋天这样，夏天太热，冬天又太冷。,只有秋天這樣，夏天太熱，冬天又太冷。,"Zhǐ yǒu qiū tiān zhè yàng, xià tiān tài rè, dōng tiān yòu tài lěng.","Only autumn is like this; summer is too hot, and winter is too cold.",Sentences
16,这么说，我来的正是时候。,這麼說，我來的正是時候。,"Zhè me shuō, wǒ lái de zhèng shì shí hòu.","So, I came at just the right time.",Sentences
