Index,Simplified,Traditional,Pinyin,English,Hint
1,喜欢,喜歡,xǐ huān,like,Third tone First tone 
2,起床,起床,qǐ chuáng,get up,Third tone Second tone
3,炒菜,炒菜,chǎo cài,stir-fry ,Third tone Third tone 
4,饮料,飲料,yǐn liào,beverage,Third tone Fourth tone 
5,面包,麵包,miàn bāo,bread,Fourth tone First tone 
6,饭盒,飯盒,fàn hé,lunchbox,Fourth tone Second tone
7,汽水,汽水,qì shuǐ,soda,Fourth tone Third tone
8,饭店,飯店,fàn diàn,restaurant,Fourth tone Fourth tone 
9,中国人,中國人,Zhōng guó rén,Chinese person,First tone Second tone Second tone
10,美国人,美國人,Měi guó rén,American person,Third tone Second tone Second tone
11,羽毛球,羽毛球,yǔ máo qiú,badminton,Third tone Second tone Second tone
12,图书馆,圖書館,tú shū guǎn,library,Second tone First tone Third tone
13,李明，下课以后你有事儿吗？,李明，下課以後你有事兒嗎？,"Lǐ Míng, xià kè yǐ hòu nǐ yǒu shìr ma?","Li Ming, do you have something to do after class?",Sentences
14,我想去图书馆，有什么事儿吗？,我想去圖書館，有什麼事兒嗎？,"Wǒ xiǎng qù tú shū guǎn, yǒu shén me shìr ma?","I want to go to the library, why?",Sentences
15,你认识不认识我的朋友张文？,你認識不認識我的朋友張文？,Nǐ rèn shi bú rèn shi wǒ de péng yǒu Zhāng Wén?,Do you know my friend Zhang Wen?,Sentences
16,我认识她。我们一起上数学课。,我認識她。我們一起上數學課。,Wǒ rèn shi tā. Wǒ men yì qǐ shàng shù xué kè.,I know her. We take math class together.,Sentences
